id_parlamentar,casa,nome_eleitoral,partido,UF,twitter,twitter2,nome_civil
160532,câmara,ELI CORRÊA FILHO,DEM,SP,NA,NA,ADRIANO ELI CORRÊA
204389,câmara,ELIAS VAZ,PSB,GO,EliasVazGyn,NA,ELIAS VAZ DE ANDRADE
178854,câmara,ELMAR NASCIMENTO,DEM,BA,ElmarNascimento,DepElmar,ELMAR JOSE VIEIRA NASCIMENTO
198783,câmara,EMANUEL PINHEIRO NETO,PTB,MT,emanuelzinhomt,NA,EMANUEL PINHEIRO DA SILVA PRIMO
161550,câmara,EMIDINHO MADEIRA,PSB,MG,emidinhomadeira,NA,EMIDIO ALVES MADEIRA JUNIOR
207309,câmara,ENÉIAS REIS,PSL,MG,DepEneiasReis,NA,ENEIAS JOSÉ DOS REIS
132504,câmara,ENIO VERRI,PT,PR,enioverri,NA,ENIO JOSÉ VERRI
204537,câmara,ENRICO MISASI,PV,SP,enricomisasi,NA,ENRICO VAN BLARCUM DE GRAAFF MISASI
160575,câmara,ERIKA KOKAY,PT,DF,erikakokay,NA,ÉRIKA JUCÁ KOKAY
160640,câmara,EROS BIONDINI,PROS,MG,erosbiondini,NA,EROS FERREIRA BIONDINI
204482,câmara,EUCLYDES PETTERSEN,PSC,MG,EuclydesPetter,NA,EUCLYDES MARCOS PETTERSEN NETO
178871,câmara,EVAIR VIEIRA DE MELO,PP,ES,EvairdeMelo,NA,EVAIR VIEIRA DE MELO
178930,câmara,EVANDRO ROMAN,PSD,PR,roman_evandro,NA,EVANDRO ROGERIO ROMAN
178953,câmara,EXPEDITO NETTO,PSD,RO,netto_expedito,NA,EXPEDITO GONCALVES FERREIRA NETTO
141428,câmara,FÁBIO FARIA,PSD,RN,fabiofaria33,fabiofaria5555,FÁBIO SALUSTINO MESQUITA DE FARIA
68720,câmara,FÁBIO HENRIQUE,PDT,SE,FabioHenriqueSE,NA,FABIO HENRIQUE SANTANA DE CARVALHO
178969,câmara,FÁBIO MITIDIERI,PSD,SE,depfmitidieri,NA,FABIO CRUZ MITIDIERI
141427,câmara,FÁBIO RAMALHO,MDB,MG,_FabinhoRamalho,NA,FÁBIO AUGUSTO RAMALHO DOS SANTOS
171623,câmara,FABIO REIS,MDB,SE,fabioreis1515,NA,FABIO DE ALMEIDA REIS
204368,câmara,FABIO SCHIOCHET,PSL,SC,deputadofabiosc,NA,FÁBIO LUIZ SCHIOCHET FILHO
160587,câmara,FÁBIO TRAD,PSD,MS,f_trad,NA,FÁBIO RICARDO TRAD
66828,câmara,FAUSTO PINATO,PP,SP,faustopinato,Fausto_Pinato,FAUSTO RUY PINATO
204477,câmara,FELÍCIO LATERÇA,PSL,RJ,NA,NA,FELÍCIO LATERÇA DE ALMEIDA
72442,câmara,FELIPE CARRERAS,PSB,PE,felipecarreras,NA,FELIPE AUGUSTO LYRA CARRERAS
204398,câmara,FELIPE FRANCISCHINI,PSL,PR,FFrancischini_,NA,LUIS FELIPE BONATTO FRANCISCHINI
204371,câmara,FELIPE RIGONI,PSB,ES,rigoni_felipe,NA,FELIPE RIGONI LOPES
160666,câmara,FÉLIX MENDONÇA JÚNIOR,PDT,BA,felixMendoncaJr,FelixMendoncaJr,FELIX DE ALMEIDA MENDONÇA JÚNIOR
204407,câmara,FERNANDA MELCHIONNA,PSOL,RS,fernandapsol,NA,FERNANDA MELCHIONNA E SILVA
141431,câmara,FERNANDO COELHO FILHO,DEM,PE,FBCFilho,NA,FERNANDO BEZERRA DE SOUZA COELHO FILHO
204445,câmara,FERNANDO MINEIRO,PT,RN,mineiroptrn,NA,FERNANDO WANDERLEY VARGAS DA SILVA
92699,câmara,FERNANDO MONTEIRO,PP,PE,fmonteirope,NA,FERNANDO MONTEIRO DE ALBUQUERQUE
204427,câmara,FERNANDO RODOLFO,PR,PE,fernandorodolfo,NA,FERNANDO RODOLFO TENORIO DE VASCONCELOS
204411,câmara,FILIPE BARROS,PSL,PR,filipebarrost,NA,FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO
204354,câmara,FLÁVIA ARRUDA,PR,DF,flaviaarrudadf,NA,FLÁVIA CAROLINA PÉRES
160598,câmara,FLÁVIA MORAIS,PDT,GO,depflaviamorais,NA,FLÁVIA CARREIRO ALBUQUERQUE MORAIS
141434,câmara,FLAVIANO MELO,MDB,AC,flaviano_melo,NA,FLAVIANO FLÁVIO BAPTISTA DE MELO
191923,câmara,FLAVIO NOGUEIRA,PDT,PI,flavionoguera,NA,FLÁVIO RODRIGUES NOGUEIRA
204447,câmara,FLORDELIS,PSD,RJ,Flordelismk,NA,FLORDELIS DOS SANTOS DE SOUZA
204392,câmara,FRANCISCO JR.,PSD,GO,franciscojr_go,NA,FRANCISCO RODRIGUES VALE JUNIOR
204510,câmara,FRANCO CARTAFINA,PHS,MG,FrancoCartafina,NA,FRANCO CARTAFINA GOMES
204494,câmara,FRED COSTA,PATRI,MG,fredcosta5133,NA,FREDERICO BORGES DA COSTA
204393,câmara,FREI ANASTACIO RIBEIRO,PT,PB,freianastacioal,NA,ANTONIO RIBEIRO
115746,câmara,GELSON AZEVEDO,PR,RJ,NA,NA,GELSON DE AZEVEDO ALMEIDA
160669,câmara,GENECIAS NORONHA,SOLIDARIEDADE,CE,depgenecias,NA,GENECIAS MATEUS NORONHA
204473,câmara,GENERAL GIRÃO,PSL,RN,GeneralGirao,NA,ELIÉSER GIRÃO MONTEIRO FILHO
204484,câmara,GENERAL PETERNELLI,PSL,SP,GenPeternelli,NA,ROBERTO SEBASTIÃO PETERNELLI JUNIOR
204527,câmara,GENINHO ZULIANI,DEM,SP,geninhozuliani,NA,EUGENIO JOSÉ ZULIANI
178966,câmara,GEOVANIA DE SÁ,PSDB,SC,geovaniadesa,NA,GEOVANIA DE SA RODRIGUES
74374,câmara,GERALDO RESENDE,PSDB,MS,dep_geraldo,NA,GERALDO RESENDE PEREIRA
204394,câmara,GERVÁSIO MAIA,PSB,PB,gervasiomaia,NA,GERVÁSIO AGRIPINO MAIA
74383,câmara,GIACOBO,PR,PR,fernandogiacobo,NA,FERNANDO LÚCIO GIACOBO
204575,câmara,GIL CUTRIM,PDT,MA,gilcutrim,NA,GILLIANO FRED NASCIMENTO CUTRIM
204491,câmara,GILBERTO ABRAMO,PRB,MG,gilbertoabramo,NA,GILBERTO APARECIDO ABRAMO
74270,câmara,GILBERTO NASCIMENTO,PSC,SP,gilbertopsc20,NA,GILBERTO NASCIMENTO SILVA
204365,câmara,GILSON MARQUES,NOVO,SC,gilsonmarques30,NA,GILSON MARQUES VIEIRA
160673,câmara,GIOVANI CHERINI,PR,RS,giovanicherini,NA,GIOVANI CHERINI
178996,câmara,GIOVANI FELTES,MDB,RS,GiovaniFeltes,NA,GIOVANI BATISTA FELTES
152605,câmara,GLAUBER BRAGA,PSOL,RJ,Glauber_Braga,NA,GLAUBER DE MEDEIROS BRAGA
204419,câmara,GLAUSTIN FOKUS,PSC,GO,glaustinfokus,NA,GLAUSKSTON BATISTA RIOS
107283,câmara,GLEISI HOFFMANN,PT,PR,gleisi,NA,GLEISI HELENA HOFFMANN
